Threshold,Sensitivity,Specificity,PPV,NPV,F1_Score,Balanced_Accuracy,Youden_Index,True_Positive,False_Positive,True_Negative,False_Negative,Model,AUROC
0.7500000000000001,0.175054704595186,0.995253164556962,0.8839779005524862,0.8537909637386077,0.2922374429223744,0.585153934576074,0.17030786915214802,160,21,4403,754,XGBoost,0.8638120199745966
0.8,0.1389496717724289,0.9961573236889693,0.8819444444444444,0.8484790142472083,0.24007561436672972,0.5675534977306991,0.13510699546139815,127,17,4407,787,XGBoost,0.8638120199745966
0.8500000000000001,0.11159737417943107,0.9977396021699819,0.9107142857142857,0.8446230386528893,0.19883040935672514,0.5546684881747065,0.10933697634941297,102,10,4414,812,XGBoost,0.8638120199745966
0.9000000000000001,0.08424507658643327,0.9995479204339964,0.9746835443037974,0.840844266970907,0.15508559919436055,0.5418964985102148,0.08379299702042964,77,2,4422,837,XGBoost,0.8638120199745966
0.05,0.9595185995623632,0.439873417721519,0.26140089418777945,0.9813414019162885,0.4108690559850082,0.699696008641941,0.3993920172838821,877,2478,1946,37,Gradient Boosting,0.8609076313404901
0.1,0.8698030634573304,0.6586799276672695,0.34490238611713664,0.9607649192218926,0.49394221808014915,0.7642414955622999,0.5284829911245998,795,1510,2914,119,Gradient Boosting,0.8609076313404901
0.15000000000000002,0.7800875273522976,0.7644665461121157,0.4062678062678063,0.943901758303098,0.5342825028100413,0.7722770367322067,0.5445540734644134,713,1042,3382,201,Gradient Boosting,0.8609076313404901
0.2,0.7100656455142232,0.8300180831826401,0.4632405424696645,0.9326898653797308,0.5606911447084233,0.7700418643484317,0.5400837286968634,649,752,3672,265,Gradient Boosting,0.8609076313404901
0.25,0.6487964989059081,0.8731916817359855,0.5138648180242634,0.9232791586998088,0.5735009671179884,0.7609940903209468,0.5219881806418936,593,561,3863,321,Gradient Boosting,0.8609076313404901
0.3,0.5809628008752735,0.904385171790235,0.5566037735849056,0.9126368613138686,0.5685224839400428,0.7426739863327543,0.48534797266550855,531,423,4001,383,Gradient Boosting,0.8609076313404901
0.35000000000000003,0.5273522975929978,0.9278933092224232,0.6017478152309613,0.9047828961869077,0.5620991253644314,0.7276228034077106,0.45524560681542114,482,319,4105,432,Gradient Boosting,0.8609076313404901
0.4,0.462800875273523,0.9448462929475587,0.6341829085457271,0.8948833226289874,0.5351043643263756,0.7038235841105409,0.4076471682210818,423,244,4180,491,Gradient Boosting,0.8609076313404901
0.45,0.4212253829321663,0.9597649186256781,0.6838365896980462,0.8892146596858639,0.5213270142180095,0.6904951507789222,0.3809903015578444,385,178,4246,529,Gradient Boosting,0.8609076313404901
0.5,0.38293216630196936,0.9685804701627486,0.7157464212678937,0.8836873582181893,0.4989308624376336,0.6757563182323589,0.35151263646471786,350,139,4285,564,Gradient Boosting,0.8609076313404901
0.55,0.33150984682713347,0.9767179023508138,0.7463054187192119,0.8761151662611517,0.4590909090909091,0.6541138745889736,0.30822774917794726,303,103,4321,611,Gradient Boosting,0.8609076313404901
0.6000000000000001,0.2910284463894967,0.9814647377938517,0.764367816091954,0.8701402805611222,0.421553090332805,0.6362465920916742,0.27249318418334845,266,82,4342,648,Gradient Boosting,0.8609076313404901
0.6500000000000001,0.2538293216630197,0.9864376130198915,0.7945205479452054,0.8648434403487911,0.384742951907131,0.6201334673414556,0.24026693468291116,232,60,4364,682,Gradient Boosting,0.8609076313404901
0.7000000000000001,0.21553610503282275,0.9914104882459313,0.8382978723404255,0.8594944150499706,0.3429068755439512,0.603473296639377,0.20694659327875398,197,38,4386,717,Gradient Boosting,0.8609076313404901
0.7500000000000001,0.17286652078774617,0.9954792043399638,0.8876404494382022,0.8534883720930233,0.28937728937728935,0.584172862563855,0.16834572512771007,158,20,4404,756,Gradient Boosting,0.8609076313404901
0.8,0.13785557986870897,0.9972875226039783,0.9130434782608695,0.8484615384615385,0.23954372623574147,0.5675715512363436,0.13514310247268724,126,12,4412,788,Gradient Boosting,0.8609076313404901
0.8500000000000001,0.10722100656455143,0.9984177215189873,0.9333333333333333,0.8440665010510223,0.1923454367026497,0.5528193640417693,0.10563872808353869,98,7,4417,816,Gradient Boosting,0.8609076313404901
0.9000000000000001,0.08315098468271334,0.9995479204339964,0.9743589743589743,0.8406844106463879,0.15322580645161288,0.5413494525583549,0.08269890511670974,76,2,4422,838,Gradient Boosting,0.8609076313404901
0.05,0.9879649890590809,0.2610759493670886,0.21644295302013422,0.9905660377358491,0.35509241053873375,0.6245204692130848,0.2490409384261696,903,3269,1155,11,Random Forest,0.8556696416206014
0.1,0.9409190371991247,0.4859855334538879,0.2744097000638162,0.9754990925589837,0.424901185770751,0.7134522853265063,0.42690457065301257,860,2274,2150,54,Random Forest,0.8556696416206014
0.15000000000000002,0.8599562363238512,0.6430831826401446,0.33234672304439744,0.9569458459468551,0.4794144556267155,0.7515197094819979,0.5030394189639957,786,1579,2845,128,Random Forest,0.8556696416206014
0.2,0.7680525164113785,0.7658227848101266,0.4039125431530495,0.9411111111111111,0.5294117647058824,0.7669376506107526,0.5338753012215052,702,1036,3388,212,Random Forest,0.8556696416206014
0.25,0.6739606126914661,0.8510397830018083,0.4831372549019608,0.9266551809008122,0.5628140703517588,0.7625001978466373,0.5250003956932745,616,659,3765,298,Random Forest,0.8556696416206014
0.3,0.5842450765864332,0.9089059674502713,0.5699039487726788,0.9136559872756191,0.5769854132901134,0.7465755220183523,0.4931510440367046,534,403,4021,380,Random Forest,0.8556696416206014
0.35000000000000003,0.4759299781181619,0.9482368896925859,0.6551204819277109,0.8975181857081729,0.5513307984790874,0.7120834339053739,0.42416686781074775,435,229,4195,479,Random Forest,0.8556696416206014
0.4,0.3610503282275711,0.9688065099457505,0.7051282051282052,0.8800821355236139,0.47756874095513746,0.6649284190866608,0.32985683817332156,330,138,4286,584,Random Forest,0.8556696416206014
0.45,0.2647702407002188,0.9848553345388789,0.7831715210355987,0.8663750248558362,0.39574816026165166,0.6248127876195488,0.24962557523909767,242,67,4357,672,Random Forest,0.8556696416206014
0.5,0.1936542669584245,0.9929927667269439,0.8509615384615384,0.8563352826510722,0.31550802139037426,0.5933235168426843,0.1866470336853685,177,31,4393,737,Random Forest,0.8556696416206014
0.55,0.1487964989059081,0.9972875226039783,0.918918918918919,0.8500963391136801,0.25612052730696794,0.5730420107549432,0.14608402150988642,136,12,4412,778,Random Forest,0.8556696416206014
0.6000000000000001,0.11159737417943107,0.9988698010849909,0.9532710280373832,0.8447715541961384,0.19980411361410383,0.555233587632211,0.11046717526442196,102,5,4419,812,Random Forest,0.8556696416206014
0.6500000000000001,0.0886214442013129,0.9995479204339964,0.9759036144578314,0.8414843006660323,0.16248746238716144,0.5440846823176546,0.08816936463530922,81,2,4422,833,Random Forest,0.8556696416206014
0.7000000000000001,0.06455142231947483,0.9995479204339964,0.9672131147540983,0.8379761227970438,0.12102564102564102,0.5320496713767356,0.06409934275347129,59,2,4422,855,Random Forest,0.8556696416206014
0.7500000000000001,0.0437636761487965,0.9997739602169982,0.975609756097561,0.8350009439305267,0.08376963350785341,0.5217688181828973,0.04353763636579466,40,1,4423,874,Random Forest,0.8556696416206014
0.8,0.02516411378555799,1.0,1.0,0.8323612417685795,0.04909284951974387,0.512582056892779,0.02516411378555805,23,0,4424,891,Random Forest,0.8556696416206014
0.8500000000000001,0.0087527352297593,1.0,1.0,0.8300187617260788,0.017353579175704986,0.5043763676148797,0.00875273522975939,8,0,4424,906,Random Forest,0.8556696416206014
0.9000000000000001,0.006564551422319475,1.0,1.0,0.8297074268567142,0.013043478260869566,0.5032822757111597,0.006564551422319376,6,0,4424,908,Random Forest,0.8556696416206014
0.05,0.9463894967177243,0.4407775768535262,0.2590595986822402,0.9754877438719359,0.40677169057136137,0.6935835367856252,0.38716707357125046,865,2474,1950,49,MLP,0.849234927053945
0.1,0.8676148796498906,0.6374321880650995,0.3308302044221944,0.9588575314518871,0.479009362730293,0.752523533857495,0.5050470677149901,793,1604,2820,121,MLP,0.849234927053945
0.15000000000000002,0.7943107221006565,0.7432188065099458,0.38990332975295383,0.9459148446490219,0.5230547550432277,0.768764764305301,0.5375295286106021,726,1136,3288,188,MLP,0.849234927053945
0.2,0.7056892778993435,0.8105786618444847,0.4349291975724882,0.9302204928664073,0.5381727158948686,0.7581339698719141,0.5162679397438281,645,838,3586,269,MLP,0.849234927053945
0.25,0.6466083150984683,0.8544303797468354,0.4785425101214575,0.921277114306605,0.5500232666356445,0.7505193474226519,0.5010386948453038,591,644,3780,323,MLP,0.849234927053945
0.3,0.5995623632385121,0.8894665461121157,0.5284474445515911,0.9149035108114392,0.5617631983598155,0.744514454675314,0.4890289093506279,548,489,3935,366,MLP,0.849234927053945
0.35000000000000003,0.5339168490153173,0.9156871609403255,0.5667828106852497,0.9048469957560866,0.5498591549295774,0.7248020049778214,0.44960400995564287,488,373,4051,426,MLP,0.849234927053945
0.4,0.486870897155361,0.9353526220614828,0.6087551299589603,0.8981983937486434,0.541033434650456,0.711111759608422,0.422223519216844,445,286,4138,469,MLP,0.849234927053945
0.45,0.4310722100656455,0.9507233273056058,0.6437908496732027,0.8899703766398646,0.5163826998689384,0.6908977686856257,0.3817955373712514,394,218,4206,520,MLP,0.849234927053945
0.5,0.37636761487964987,0.9645117540687161,0.6866267465069861,0.8821583626214596,0.4862190812720848,0.670439684474183,0.340879368948366,344,157,4267,570,MLP,0.849234927053945
0.55,0.3293216630196937,0.974005424954792,0.7235576923076923,0.8754571312474604,0.45263157894736844,0.6516635439872429,0.3033270879744858,301,115,4309,613,MLP,0.849234927053945
0.6000000000000001,0.2855579868708972,0.9803345388788427,0.75,0.8691382765531062,0.4136291600633914,0.6329462628748699,0.26589252574973976,261,87,4337,653,MLP,0.849234927053945
0.6500000000000001,0.24945295404814005,0.9871157323688969,0.8,0.8642390659014447,0.38031693077564643,0.6182843432085185,0.2365686864170371,228,57,4367,686,MLP,0.849234927053945
0.7000000000000001,0.2188183807439825,0.989376130198915,0.8097165991902834,0.859752504419564,0.34453057708871665,0.6040972554714488,0.20819451094289754,200,47,4377,714,MLP,0.849234927053945
0.7500000000000001,0.1925601750547046,0.9927667269439421,0.8461538461538461,0.856140350877193,0.3137254901960784,0.5926634509993234,0.18532690199864676,176,32,4392,738,MLP,0.849234927053945
0.8,0.16849015317286653,0.995253164556962,0.88,0.852798760410614,0.2828282828282828,0.5818716588649142,0.16374331772982842,154,21,4403,760,MLP,0.849234927053945
0.8500000000000001,0.14332603938730853,0.9966094032549728,0.8972602739726028,0.849191063174114,0.2471698113207547,0.5699677213211407,0.13993544264228142,131,15,4409,783,MLP,0.849234927053945
0.9000000000000001,0.12144420131291028,0.9984177215189873,0.940677966101695,0.8461685823754789,0.21511627906976744,0.5599309614159488,0.11986192283189756,111,7,4417,803,MLP,0.849234927053945
0.05,1.0,0.0,0.1712251779692769,0.0,0.2923864363403711,0.5,0.0,914,4424,0,0,AdaBoost,0.8439506906826105
0.1,1.0,0.0,0.1712251779692769,0.0,0.2923864363403711,0.5,0.0,914,4424,0,0,AdaBoost,0.8439506906826105
0.15000000000000002,1.0,0.0,0.1712251779692769,0.0,0.2923864363403711,0.5,0.0,914,4424,0,0,AdaBoost,0.8439506906826105
0.2,1.0,0.0,0.1712251779692769,0.0,0.2923864363403711,0.5,0.0,914,4424,0,0,AdaBoost,0.8439506906826105
0.25,1.0,0.0,0.1712251779692769,0.0,0.2923864363403711,0.5,0.0,914,4424,0,0,AdaBoost,0.8439506906826105
0.3,1.0,0.0,0.1712251779692769,0.0,0.2923864363403711,0.5,0.0,914,4424,0,0,AdaBoost,0.8439506906826105
0.35000000000000003,1.0,0.0,0.1712251779692769,0.0,0.2923864363403711,0.5,0.0,914,4424,0,0,AdaBoost,0.8439506906826105
0.4,1.0,0.0,0.1712251779692769,0.0,0.2923864363403711,0.5,0.0,914,4424,0,0,AdaBoost,0.8439506906826105
0.45,1.0,0.006781193490054249,0.1721929163526752,1.0,0.2937962070073931,0.5033905967450272,0.006781193490054349,914,4394,30,0,AdaBoost,0.8439506906826105
0.5,0.4037199124726477,0.9622513562386981,0.6884328358208955,0.8865056226572262,0.5089655172413794,0.6829856343556728,0.36597126871134567,369,167,4257,545,AdaBoost,0.8439506906826105
0.55,0.0,1.0,0.0,0.8287748220307232,0.0,0.5,0.0,0,0,4424,914,AdaBoost,0.8439506906826105
0.6000000000000001,0.0,1.0,0.0,0.8287748220307232,0.0,0.5,0.0,0,0,4424,914,AdaBoost,0.8439506906826105
0.6500000000000001,0.0,1.0,0.0,0.8287748220307232,0.0,0.5,0.0,0,0,4424,914,AdaBoost,0.8439506906826105
0.7000000000000001,0.0,1.0,0.0,0.8287748220307232,0.0,0.5,0.0,0,0,4424,914,AdaBoost,0.8439506906826105
0.7500000000000001,0.0,1.0,0.0,0.8287748220307232,0.0,0.5,0.0,0,0,4424,914,AdaBoost,0.8439506906826105
0.8,0.0,1.0,0.0,0.8287748220307232,0.0,0.5,0.0,0,0,4424,914,AdaBoost,0.8439506906826105
0.8500000000000001,0.0,1.0,0.0,0.8287748220307232,0.0,0.5,0.0,0,0,4424,914,AdaBoost,0.8439506906826105
0.9000000000000001,0.0,1.0,0.0,0.8287748220307232,0.0,0.5,0.0,0,0,4424,914,AdaBoost,0.8439506906826105
0.05,0.949671772428884,0.3612115732368897,0.2349756361667569,0.9720194647201946,0.3767361111111111,0.6554416728328869,0.3108833456657738,868,2826,1598,46,Logistic Regression,0.8340064240803098
0.1,0.8643326039387309,0.5892857142857143,0.30303030303030304,0.9545953863053827,0.44873615450156207,0.7268091591122225,0.4536183182244451,790,1817,2607,124,Logistic Regression,0.8340064240803098
0.15000000000000002,0.787746170678337,0.7235533453887885,0.3705609881626351,0.9428571428571428,0.504025201260063,0.7556497580335627,0.5112995160671254,720,1223,3201,194,Logistic Regression,0.8340064240803098
0.2,0.7035010940919038,0.805379746835443,0.4275265957446808,0.9293166405842462,0.5318444995864351,0.7544404204636734,0.5088808409273469,643,861,3563,271,Logistic Regression,0.8340064240803098
0.25,0.6422319474835886,0.8542043399638336,0.476461038961039,0.9203604481246955,0.5470643056849953,0.7482181437237111,0.4964362874474222,587,645,3779,327,Logistic Regression,0.8340064240803098
0.3,0.5711159737417943,0.8908227848101266,0.5194029850746269,0.9095315024232633,0.5440333507034915,0.7309693792759604,0.4619387585519208,522,483,3941,392,Logistic Regression,0.8340064240803098
0.35000000000000003,0.49452954048140046,0.921112115732369,0.5642946317103621,0.8981705973109985,0.5271137026239067,0.7078208281068847,0.4156416562137695,452,349,4075,462,Logistic Regression,0.8340064240803098
0.4,0.43544857768052514,0.9441681735985533,0.6170542635658914,0.8900490091625826,0.5105837075048107,0.6898083756395392,0.37961675127907846,398,247,4177,516,Logistic Regression,0.8340064240803098
0.45,0.37527352297593,0.9602169981916817,0.6608863198458574,0.8815106868644947,0.4787159804605722,0.6677452605838059,0.3354905211676118,343,176,4248,571,Logistic Regression,0.8340064240803098
0.5,0.31838074398249455,0.971745027124774,0.6995192307692307,0.8734254368143032,0.4375939849624061,0.6450628855536342,0.29012577110726845,291,125,4299,623,Logistic Regression,0.8340064240803098
0.55,0.2614879649890591,0.9819168173598554,0.7492163009404389,0.8655110579796772,0.3876723438767234,0.6217023911744572,0.2434047823489145,239,80,4344,675,Logistic Regression,0.8340064240803098
0.6000000000000001,0.21444201312910285,0.9884719710669078,0.7935222672064778,0.8589668041642113,0.3376399655469423,0.6014569920980053,0.2029139841960106,196,51,4373,718,Logistic Regression,0.8340064240803098
